,Components_cnt,time,token,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio
0,6,2020-10-10,AAVE,2.930131004366812,14.819539130032384,62.0,84.61415694525093,21.159463487332342
1,7,2020-10-11,AAVE,2.947089947089947,13.5616229671758,50.4,71.5249762126645,17.1016157989228
2,9,2020-10-12,AAVE,2.7549668874172184,13.59185412317031,55.8,77.78146023028594,20.254326923076924
3,12,2020-10-13,AAVE,2.7843866171003717,14.630074688027113,67.5,89.44675635383445,24.242323097463284
4,5,2020-10-14,AAVE,2.8225352112676054,15.437011531264195,84.8,105.40482805724687,30.043912175648703
5,43,2020-10-15,AAVE,2.511879049676026,13.375870543246025,91.2,97.07591531030411,36.30748065348237
6,17,2020-10-16,AAVE,2.6194690265486726,13.65999704287583,88.6,89.3932634797251,33.82364864864864
7,15,2020-10-17,AAVE,2.8298507462686566,14.13772756792489,83.2,86.61896122930848,29.40084388185654
8,21,2020-10-18,AAVE,2.6717325227963524,13.08426583797916,76.9,78.92816706066063,28.782821387940846
9,25,2020-10-19,AAVE,2.692828146143437,12.821860143766253,82.6,78.78691374700355,30.674070351758793
10,44,2020-10-20,AAVE,2.6242774566473988,12.610846034295129,91.4,79.3560191653902,34.82863436123348
11,21,2020-10-21,AAVE,2.7123947051744888,13.119940784401377,91.3,83.11043523195174,33.66029281277728
12,28,2020-10-22,AAVE,2.7116279069767444,13.243070264708523,94.4,84.51719088774517,34.81303602058319
13,22,2020-10-23,AAVE,2.6929716399506782,12.322144571358644,86.7,74.62506281404391,32.19491758241758
14,23,2020-10-24,AAVE,2.7037593984962407,12.169525475690033,72.7,72.84999809349497,26.8884872080089
15,22,2020-10-25,AAVE,2.7220447284345046,10.859070736135426,69.3,55.65978001313975,25.458802816901407
16,15,2020-10-26,AAVE,2.5955414012738856,9.819037875987933,66.5,44.9524440072197,25.62085889570552
17,24,2020-10-27,AAVE,2.5342465753424657,8.951873906041328,56.5,42.65429508137356,22.294594594594596
18,23,2020-10-28,AAVE,2.5676126878130217,9.294963185095384,58.5,46.15493232340156,22.783810143042913
19,22,2020-10-29,AAVE,2.5531197301854975,9.31039239967775,57.2,47.30233726900936,22.403963011889036
20,20,2020-10-30,AAVE,2.7649769585253456,10.505313049533376,70.3,52.047094059130714,25.425166666666666
21,28,2020-10-31,AAVE,2.6938110749185666,10.229697713285395,64.7,52.01506192120381,24.0180169286578
22,22,2020-11-01,AAVE,2.602272727272727,9.163130195337915,53.7,43.320639166311686,20.635807860262013
23,21,2020-11-02,AAVE,2.585635359116022,8.692551839536328,54.3,38.16062543163219,21.000641025641023
24,24,2020-11-03,AAVE,2.529980657640232,8.310447485107133,49.6,37.22066331727281,19.604892966360858
25,28,2020-11-04,AAVE,2.4150943396226414,7.705150972835681,43.5,34.118258389835134,18.01171875
26,32,2020-11-05,AAVE,2.464390243902439,12.343748031799702,86.4,94.81232924982794,35.059382422802855
27,48,2020-11-06,AAVE,2.4734982332155475,12.79720781282387,96.1,100.93501759933358,38.85185714285714
28,58,2020-11-07,AAVE,2.5788999098286745,11.72782284793774,90.0,86.90352249605434,34.8986013986014
29,54,2020-11-08,AAVE,2.574977817213842,11.869607380760518,95.3,85.02555171502532,37.01002756719504
30,53,2020-11-09,AAVE,2.6144578313253013,11.691088396595235,98.6,80.70687703039934,37.713364055299536
31,71,2020-11-10,AAVE,2.5506883604505632,14.802760709929952,135.7,132.92107098241087,53.201324828263
32,52,2020-11-11,AAVE,2.6666666666666665,12.9122109985256,107.5,98.77499683624394,40.3125
33,36,2020-11-12,AAVE,2.5942028985507246,9.463840186140933,66.8,55.97380339646991,25.74972067039106
34,46,2020-11-13,AAVE,2.6409495548961424,10.785884830309634,82.6,71.79941194435757,31.276629213483144
35,48,2020-11-14,AAVE,2.6729559748427674,10.224138786143135,79.2,61.23688068113493,29.630117647058825
36,61,2020-11-15,AAVE,2.668523676880223,11.256087281349233,89.2,77.5683211397826,33.42672233820459
37,51,2020-11-16,AAVE,2.6095581605049594,10.95790841970112,89.1,75.16714707902648,34.14371112646855
38,59,2020-11-17,AAVE,2.5380794701986753,11.14996250729797,93.3,80.24552600889623,36.7600782778865
39,63,2020-11-18,AAVE,2.572232645403377,10.525129244856984,83.3,70.46993054566684,32.384318016046684
40,57,2020-11-19,AAVE,2.609794628751975,11.211133601809651,101.4,75.2982219061129,38.85363196125908
41,47,2020-11-20,AAVE,2.5719091673675356,10.714975115340915,92.4,71.71889569701976,35.92661870503598
42,51,2020-11-21,AAVE,2.5614646904969485,10.625482916417672,87.4,73.57566022658429,34.1211027910143
43,44,2020-11-22,AAVE,2.540834845735027,10.263276438955977,84.3,67.05727237054738,33.17807142857143
44,46,2020-11-23,AAVE,2.5501022494887526,9.6892370824696,75.4,60.153876756938025,29.567441860465117
