,DCmean,DCstd,time,token
0,0.007317456398285159,0.04221111293677803,2020-10-10,AAVE
1,0.008984602722814705,0.04647022225079019,2020-10-11,AAVE
2,0.00913330742324137,0.04430788862347789,2020-10-12,AAVE
3,0.007629975749689489,0.041483841975016436,2020-10-13,AAVE
4,0.005730406418055149,0.034868938596944,2020-10-14,AAVE
5,0.004565395727074886,0.027754599486126373,2020-10-15,AAVE
6,0.005287852833842275,0.029810185171726646,2020-10-16,AAVE
7,0.005815296118237314,0.0321079687284447,2020-10-17,AAVE
8,0.005762018411183058,0.030099043691421818,2020-10-18,AAVE
9,0.0054738926008413395,0.02964823775286508,2020-10-19,AAVE
10,0.004796541834656432,0.02621861001282418,2020-10-20,AAVE
11,0.004816658966856572,0.02665192370296216,2020-10-21,AAVE
12,0.004786785227493971,0.025627960742165293,2020-10-22,AAVE
13,0.0050769964376875774,0.026594551349294622,2020-10-23,AAVE
14,0.006002400960384112,0.03006962122913669,2020-10-24,AAVE
15,0.006294225214003648,0.02823613767894322,2020-10-25,AAVE
16,0.007543103448275801,0.03049476574574088,2020-10-26,AAVE
17,0.006911869225302068,0.02908190522404678,2020-10-27,AAVE
18,0.006863506863506824,0.030205069677433794,2020-10-28,AAVE
19,0.006690033770266195,0.03057103823235438,2020-10-29,AAVE
20,0.00599520383693052,0.0287874027579531,2020-10-30,AAVE
21,0.0062468827930174066,0.02937107669985443,2020-10-31,AAVE
22,0.007342305227501546,0.03141521268985386,2020-11-01,AAVE
23,0.007699141249629849,0.031864929149599125,2020-11-02,AAVE
24,0.007714561234329761,0.03211451524668643,2020-11-03,AAVE
25,0.008138203260154464,0.03233494940853784,2020-11-04,AAVE
26,0.004187250058809646,0.029152400337070557,2020-11-05,AAVE
27,0.003772528088036647,0.026900710322481664,2020-11-06,AAVE
28,0.004176730407398035,0.027634996187428755,2020-11-07,AAVE
29,0.004286597066380485,0.0274243754700369,2020-11-08,AAVE
30,0.004128889456433885,0.02562268883003597,2020-11-09,AAVE
31,0.002727191705534547,0.022631574281327813,2020-11-10,AAVE
32,0.003682483568504389,0.025718198137526693,2020-11-11,AAVE
33,0.005708643975545229,0.030618535440071724,2020-11-12,AAVE
34,0.004600999356849515,0.02805674827526173,2020-11-13,AAVE
35,0.004891245923961792,0.027504527298257673,2020-11-14,AAVE
36,0.004466057243454205,0.027768731801639752,2020-11-15,AAVE
37,0.004451260833898013,0.02715556383366434,2020-11-16,AAVE
38,0.004504798116965448,0.028404156318113077,2020-11-17,AAVE
39,0.004766078210425244,0.02827857198263907,2020-11-18,AAVE
40,0.0042495103566976816,0.025690126670347264,2020-11-19,AAVE
41,0.004622463173663305,0.02731029720081838,2020-11-20,AAVE
42,0.004477134633834418,0.026835910770151954,2020-11-21,AAVE
43,0.0043955077910375175,0.025701746670992107,2020-11-22,AAVE
44,0.004962016831756915,0.02716028674374491,2020-11-23,AAVE
45,0.004559771764046206,0.02482475466106586,2020-11-24,AAVE
46,0.005063658808152149,0.02784485457265411,2020-11-25,AAVE
47,0.004303250104617123,0.02642043554790354,2020-11-26,AAVE
48,0.005605247465712611,0.029581084061046294,2020-11-27,AAVE
49,0.005030227513960001,0.026738930127989315,2020-11-28,AAVE
50,0.0050866723500994785,0.02705591047347742,2020-11-29,AAVE
51,0.0040966360553478885,0.02591210966310274,2020-11-30,AAVE
52,0.005057775730354362,0.02637685754044729,2020-12-01,AAVE
53,0.0028231775244548034,0.021848934698305813,2020-12-02,AAVE
54,0.003195706899410598,0.023095311355542224,2020-12-03,AAVE
55,0.003955741889285446,0.02467824946856658,2020-12-04,AAVE
56,0.0035178380941093094,0.023509428302818863,2020-12-05,AAVE
57,0.0020068231988762046,0.0221574356916071,2020-12-06,AAVE
58,0.003557827476038333,0.025956926987465104,2020-12-07,AAVE
59,0.004300271788898378,0.025906094296375724,2020-12-08,AAVE
60,0.00415733930284625,0.0260022193288397,2020-12-09,AAVE
61,0.0049267341106020365,0.028285175940518926,2020-12-10,AAVE
62,0.004555295329615078,0.030426185840299935,2020-12-11,AAVE
63,0.005075141660507455,0.03033596458363012,2020-12-12,AAVE
64,0.004947238230572841,0.027725784055350294,2020-12-13,AAVE
65,0.0044377672483532,0.02713684833386461,2020-12-14,AAVE
66,0.0043820267833160585,0.027030589435536292,2020-12-15,AAVE
67,0.0038526570048309596,0.021287473652929517,2020-12-16,AAVE
68,0.004684300580628892,0.022873606021171135,2020-12-17,AAVE
69,0.004357265166340461,0.02274701672643911,2020-12-18,AAVE
70,0.0037133428134474324,0.021769522788484406,2020-12-19,AAVE
71,0.004207357625398097,0.024571916006163708,2020-12-20,AAVE
72,0.005415774759916231,0.02716416815063256,2020-12-21,AAVE
73,0.005130383635056483,0.02608993452877176,2020-12-22,AAVE
74,0.005221113015809038,0.02563876273821512,2020-12-23,AAVE
75,0.005161716031119286,0.02522143533844563,2020-12-24,AAVE
76,0.006243838317449875,0.02740006764531455,2020-12-25,AAVE
77,0.005167141200042143,0.02662418375048336,2020-12-26,AAVE
78,0.0052616262150049576,0.026202268136019554,2020-12-27,AAVE
79,0.0053247177224166825,0.023637405976587724,2020-12-28,AAVE
80,0.005639097744360856,0.024913027503458873,2020-12-29,AAVE
81,0.003775904460835925,0.021275106723659027,2020-12-30,AAVE
82,0.005082825230669616,0.023366731385383765,2020-12-31,AAVE
83,0.004525142824820406,0.02227772085198812,2021-01-01,AAVE
84,0.005088659707637226,0.023267069989541714,2021-01-02,AAVE
85,0.004824549101006991,0.02175338128691846,2021-01-03,AAVE
