,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,time,num_nodes,num_edges,token
0,0.006411665217432808,0.032427875558058046,0.0043672361071195745,0.06600949334338076,0.4846126852063673,5.82773223512957e-05,0.027397960499181966,0.037893178958782074,0.29504358808817116,0.06775578968130087,2020-10-10,458,671,AAVE
1,0.00781721471376645,0.03597247471399361,0.010656809019904257,0.10246100773925526,0.48413048873646636,0.00016782277914522266,0.030560394383539698,0.04142589649820334,0.2898980552463062,0.07611323389392396,2020-10-11,378,557,AAVE
2,0.00609505948543636,0.0300704737238279,0.02575473296411438,0.15385548253879314,0.5213431233563444,0.0004201092283993838,0.02797308362337659,0.03779106763543052,0.2869170992930332,0.08041697334443429,2020-10-12,453,624,AAVE
3,0.005185077499255859,0.027244086942322315,0.014916690841607695,0.1098173777792292,0.5041220960390446,0.0005611672278338945,0.025799934066186664,0.0345734182337672,0.2754817871640929,0.0794327818993566,2020-10-13,538,749,AAVE
4,0.003981008760603181,0.02177293586920224,0.015086598915096287,0.11131561506190474,0.572733275963044,0.0005909549136162964,0.02109533766361039,0.031061170311392546,0.2808392004584795,0.05473953246191987,2020-10-14,710,1002,AAVE
5,0.002715544918568661,0.01446040058729332,0.015144567794344858,0.11165861150364968,0.6422156651527585,0.0006035074432584668,0.0182243437058959,0.02736047005580785,0.21828847704146428,0.07662178311096236,2020-10-15,926,1163,AAVE
6,0.003315783577909722,0.017291135497311327,0.015875952126686146,0.1141614057306035,0.6252701957335163,0.0006765899864682003,0.01937138102344982,0.029834499854105953,0.2457591363174468,0.06835014460563432,2020-10-16,791,1036,AAVE
7,0.00422997122013258,0.021132627156838373,0.02169019901630693,0.13112459458994893,0.5687768163933841,0.0011809301647470478,0.02242906669043705,0.03147941097968974,0.2622042379515572,0.0709493136071839,2020-10-17,670,948,AAVE
8,0.004066563961638341,0.01991516870316451,0.019259915948689837,0.12675511830446703,0.5938967774166787,0.0009357454772301934,0.02195813013181746,0.03223626305652532,0.24668868777250524,0.07881779664313063,2020-10-18,658,879,AAVE
9,0.003648818626210564,0.01737379423274582,0.024090866166629532,0.13854664297737013,0.6269225524607973,0.0012510425354462051,0.01984940602580566,0.03099162397622044,0.2261866137319036,0.08004046730220336,2020-10-19,739,995,AAVE
10,0.0030373581674160116,0.014595886613767794,0.024471318378696517,0.1396671798099822,0.6438203729938485,0.0013608142205086043,0.01855491803479724,0.02850831363198217,0.22056537419883115,0.08233467557718456,2020-10-20,865,1135,AAVE
11,0.0032679454279210237,0.015807157571567414,0.021291263098701087,0.1347374279873288,0.6392850647453923,0.0006133714986710284,0.01853308781858994,0.029341610509668412,0.24418698012420637,0.06954057142383419,2020-10-21,831,1127,AAVE
