,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,WCC,SCC,time,num_nodes,num_edges,token
0,0.0019717457317269885,0.01594334802450949,0.007803572793373213,0.058326191271669936,0.7884889749100923,0.0005696504918595107,0.0060773368962705335,0.021862754090045667,0.019845673503122746,0.027907732728118282,50,3024,2020-08-17,1943,3720,CRV
1,0.0021787263642659566,0.016551446406890144,0.014031155322724162,0.08744088185814383,0.7596313483421269,0.0007749319450791822,0.00764156535061687,0.02233802879712804,0.028755477205864046,0.035340480750467085,50,3024,2020-08-18,1795,3508,CRV
2,0.0018539726052102551,0.0144795790801947,0.010873760834426474,0.07061361127479289,0.7312237613581635,0.0004405847862471043,0.004649925245977958,0.019134184075775728,0.05462922337960597,0.0509813952419379,50,3024,2020-08-19,2580,6168,CRV
3,0.002233062295464771,0.019877557560022074,0.010731123037002915,0.0734352449005346,0.7700131929441103,0.0006628369421122404,0.005873234997319291,0.022034245470138183,0.02907165965839769,0.03382909127195456,50,3024,2020-08-20,1924,4131,CRV
4,0.0022095587263711424,0.01808093292561113,0.008744430284741493,0.062456659079235484,0.7802609452237583,0.0004670272026424264,0.006046262065284122,0.023049536363536544,0.0214412931737952,0.028446774119801115,50,3024,2020-08-21,1762,3428,CRV
5,0.0023674556082357613,0.020351058972884733,0.004246171282928809,0.04272255072141304,0.7793330829341272,0.00025833674194312284,0.006041330364149805,0.024323242079850985,0.01674738351954464,0.024520695914226665,50,3024,2020-08-22,1593,3002,CRV
6,0.0024767709830499215,0.021443729901840482,0.006181593150830811,0.06062530644466671,0.7691640698855073,0.00036779636341345676,0.006136544674884389,0.024973857837468808,0.01628455756550652,0.022370288928485593,50,3024,2020-08-23,1513,2833,CRV
7,0.0022981873368495037,0.0180899040072591,0.008228867539554211,0.06365306335616394,0.7692661768141171,0.0004789210865761612,0.008018341156429451,0.022577026153240073,0.02908602230098418,0.033237996725996456,50,3024,2020-08-24,1743,3489,CRV
8,0.0024791468285049892,0.020536053947608924,0.005109864367666872,0.057579709854727705,0.8016436587902013,0.0003366940386449935,0.005416549326993283,0.025183556769033312,0.012526545684300072,0.018918129948357697,50,3024,2020-08-25,1508,2817,CRV
9,0.0020228487381772358,0.01553636165334295,0.006487343194649119,0.05876824188054348,0.830079479564845,0.0005275516431682062,0.004725173758840865,0.023219442497405512,0.016700621564866527,0.02042935489439635,50,3024,2020-08-26,1782,3210,CRV
10,0.0020734601072091995,0.018304877720491827,0.009174554867992443,0.06660727865612102,0.8162651581736827,0.0007655375774988658,0.0050426256533411765,0.023443558443972622,0.01457551286202458,0.01943107161217455,50,3024,2020-08-27,1740,3137,CRV
11,0.0021194695336020607,0.017229904116102413,0.011629093693868286,0.07946709578878053,0.7873669422601385,0.0009666375780358462,0.005131628877372052,0.02200266950632195,0.024228252649961833,0.034213425525675425,50,3024,2020-08-28,1960,4069,CRV
12,0.0021795264318259246,0.016981031265196456,0.014787185246991855,0.08134202213386969,0.7889809564593794,0.0014460715057427321,0.005503255925308738,0.023686754100122026,0.019142688333681733,0.02785684057388555,50,3024,2020-08-29,1692,3118,CRV
13,0.002359782058127068,0.017126861795747586,0.00955771621609445,0.06436993495301528,0.7985122454121485,0.0010928780778592837,0.005825168835347635,0.022365985689057535,0.02981031733030945,0.03643184712519479,50,3024,2020-08-30,1873,4137,CRV
14,0.002138107748694563,0.017113773242128906,0.014295557846789085,0.08548344996961971,0.7566863731363486,0.0007676841528057028,0.005843927235989772,0.02075930897497163,0.03709906505194733,0.045077897705570524,50,3024,2020-08-31,2151,4944,CRV
15,0.001788899402644247,0.016111874353647238,0.017733503743778217,0.09249096118043275,0.7231204954683702,0.0008159087368991018,0.005802991720179434,0.018371391779147497,0.04949565044137356,0.05711791071210993,50,3024,2020-09-01,2695,6494,CRV
16,0.002263631815908019,0.018531695060297435,0.03182092216204265,0.11964546635498204,0.7315740578644503,0.0019760752106201375,0.0069205123740625025,0.021268114039986345,0.0482237367092394,0.052083998111330396,50,3024,2020-09-02,2000,4525,CRV
17,0.002509799649321435,0.025835187740953624,0.031750089612665386,0.12606950194451189,0.7010725116194173,0.0016659074207696425,0.006890055610999028,0.02017038675267839,0.05091607226727737,0.05649469961179409,50,3024,2020-09-03,2202,6082,CRV
18,0.0022160722615412235,0.022605915458387516,0.02586408973887922,0.1183125298964667,0.7328649305555561,0.0011713602420811166,0.0066011155491044774,0.02132857327275075,0.03012802537211968,0.04083358029471532,50,3024,2020-09-04,2007,4461,CRV
19,0.002305802305802215,0.023792124398756255,0.020077227786456583,0.09655532740279231,0.7202542052112815,0.0008934586681393795,0.006133501645666515,0.020701765271952454,0.02745617628770123,0.03445769099855445,50,3024,2020-09-05,2146,5307,CRV
20,0.0021907488794702607,0.019060671316035747,0.018747182373443402,0.10558723568209842,0.7969181890864109,0.0012895640135783505,0.0059015851798514315,0.022225516956754465,0.020481821166115816,0.028905739442141882,50,3024,2020-09-06,1892,3919,CRV
21,0.0025262722341867208,0.02096990247763468,0.016249531822641033,0.0932802484572317,0.7714399638172097,0.0010498475702085562,0.006389875199499085,0.022748494221564212,0.022675376168539672,0.03279637578417363,50,3024,2020-09-07,1792,4054,CRV
22,0.0025248132346419,0.019477301550143367,0.01768681507709646,0.0972749482033708,0.7600975942983993,0.0015270487904605345,0.006976157495157472,0.023190837565087146,0.031528207453324894,0.038038476072700805,50,3024,2020-09-08,1706,3672,CRV
