,DCmean,DCstd,time,token
0,0.007500066255002241,0.041356062109222,2020-10-10,AAVE
1,0.009900353584056524,0.04934734066024577,2020-10-11,AAVE
2,0.00724822695035465,0.039710983607436856,2020-10-12,AAVE
3,0.006593314734125438,0.03705631633473072,2020-10-13,AAVE
4,0.004601657792040885,0.029474202294036782,2020-10-14,AAVE
5,0.0037999018508763174,0.023562498036498708,2020-10-15,AAVE
6,0.004334738109572503,0.025699697931827126,2020-10-16,AAVE
7,0.005182446772095585,0.02901530485926516,2020-10-17,AAVE
8,0.004993401576488167,0.027449812276114573,2020-10-18,AAVE
9,0.0050237638622530065,0.027807493032313002,2020-10-19,AAVE
10,0.004175308962060363,0.024268609846284674,2020-10-20,AAVE
11,0.004088698983350462,0.024356800859761257,2020-10-21,AAVE
12,0.00411694199801973,0.024760391231406772,2020-10-22,AAVE
13,0.0043026670518005435,0.024815398674119464,2020-10-23,AAVE
14,0.005180840664711568,0.02820458451060411,2020-10-24,AAVE
15,0.005718241189394171,0.028054063427397392,2020-10-25,AAVE
16,0.005253568174916526,0.02529474632256113,2020-10-26,AAVE
17,0.006864368508204113,0.03019824507514492,2020-10-27,AAVE
18,0.005879476836572472,0.027320290587050527,2020-10-28,AAVE
19,0.005847879194460941,0.027845275265509874,2020-10-29,AAVE
20,0.005427460273475169,0.02664171351243435,2020-10-30,AAVE
21,0.005937262921793005,0.02819893421788859,2020-10-31,AAVE
22,0.006621255401743145,0.029112543413265468,2020-11-01,AAVE
23,0.006284333113601358,0.02757581301284366,2020-11-02,AAVE
24,0.007140895358417958,0.030325947961407588,2020-11-03,AAVE
25,0.007403020432336395,0.030363049729214556,2020-11-04,AAVE
26,0.003729965895880545,0.025907514147477256,2020-11-05,AAVE
27,0.003539603488083696,0.025197744173372748,2020-11-06,AAVE
28,0.0038125317240990295,0.02546005552131336,2020-11-07,AAVE
29,0.0038558300892454402,0.02487533344416102,2020-11-08,AAVE
30,0.003699301738226077,0.023516619211266156,2020-11-09,AAVE
31,0.0024958442980861587,0.02060648437094255,2020-11-10,AAVE
32,0.003267049530438552,0.02334093737533554,2020-11-11,AAVE
33,0.005220074853903518,0.028675285369778696,2020-11-12,AAVE
34,0.004209091356254954,0.025992481923607574,2020-11-13,AAVE
35,0.004643132522042344,0.026748530657071962,2020-11-14,AAVE
36,0.004688541643773331,0.028892193984216583,2020-11-15,AAVE
37,0.004307056997816822,0.026432672444111252,2020-11-16,AAVE
38,0.0038329832235043026,0.025082721338921095,2020-11-17,AAVE
39,0.004185765554489638,0.025947736991945514,2020-11-18,AAVE
40,0.004115790917821438,0.025461157956128615,2020-11-19,AAVE
41,0.004195543200581774,0.02574704415108798,2020-11-20,AAVE
42,0.0043961615064276914,0.02739379332868483,2020-11-21,AAVE
43,0.003962632441360214,0.024133782163298072,2020-11-22,AAVE
44,0.004458748198062303,0.025871275859942346,2020-11-23,AAVE
45,0.004209616128518486,0.024201558178670275,2020-11-24,AAVE
46,0.0043856313534616055,0.0258053913740192,2020-11-25,AAVE
47,0.004568452728987894,0.028834460927892405,2020-11-26,AAVE
48,0.004203581801993767,0.02401008931607824,2020-11-27,AAVE
49,0.004571639976745408,0.026046050326151957,2020-11-28,AAVE
50,0.004982476082220341,0.02720678270639958,2020-11-29,AAVE
51,0.003887037918451484,0.025690767046280726,2020-11-30,AAVE
52,0.0053286720694951765,0.028846613139424337,2020-12-01,AAVE
53,0.0029195879003324795,0.023191589645383075,2020-12-02,AAVE
54,0.0035981847963266135,0.026377042784941067,2020-12-03,AAVE
55,0.004222057008000732,0.027763222214825828,2020-12-04,AAVE
56,0.002700675168792188,0.019804393335385737,2020-12-05,AAVE
57,0.0016665167755420594,0.01848663870650972,2020-12-06,AAVE
58,0.0030716880489262926,0.02411934162383033,2020-12-07,AAVE
59,0.00430880850356031,0.027476198326071313,2020-12-08,AAVE
60,0.0042850734031526965,0.027705375371716794,2020-12-09,AAVE
61,0.005308088565666763,0.0313689754770557,2020-12-10,AAVE
62,0.004179323561191427,0.027796403024812052,2020-12-11,AAVE
63,0.005265109380793438,0.03205046557321371,2020-12-12,AAVE
64,0.005289532293986606,0.030383975487931522,2020-12-13,AAVE
65,0.004799243539308271,0.030200920005482204,2020-12-14,AAVE
66,0.004805719978901761,0.03212848285739423,2020-12-15,AAVE
67,0.0037837330748303247,0.02267488382740191,2020-12-16,AAVE
68,0.00413468567251462,0.022169626057408586,2020-12-17,AAVE
69,0.004282724459205004,0.02419942352557632,2020-12-18,AAVE
70,0.003644728760328598,0.023236313157479323,2020-12-19,AAVE
71,0.004179635393508204,0.0259034479928021,2020-12-20,AAVE
72,0.005991269004967626,0.03251360739762025,2020-12-21,AAVE
73,0.005257848198919948,0.028391597707382452,2020-12-22,AAVE
74,0.005421768960682833,0.02859695449189567,2020-12-23,AAVE
75,0.00502564455612542,0.0268378877066789,2020-12-24,AAVE
76,0.006675617214887683,0.0312649833702005,2020-12-25,AAVE
77,0.005230041908851148,0.028598580991189167,2020-12-26,AAVE
78,0.005081590937639207,0.026873762562057705,2020-12-27,AAVE
79,0.005534789166502712,0.026681761518816217,2020-12-28,AAVE
80,0.004791660253845092,0.024124787678979295,2020-12-29,AAVE
81,0.0031210692563699337,0.022766089790971392,2020-12-30,AAVE
82,0.004481185345801174,0.022845018716881323,2020-12-31,AAVE
83,0.00450998009266599,0.02399614134486657,2021-01-01,AAVE
84,0.003832848494378422,0.020314997564931398,2021-01-02,AAVE
85,0.0033668039058874413,0.018873000548407477,2021-01-03,AAVE
