,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,time,num_nodes,num_edges,token
0,0.032196969696969696,0.005439926748615562,0.0,0.0,0.9342560553633216,0.0,0.051735059575045685,0.16878934348353522,0.032828282828282825,0.005893253977666861,2020-10-10,33,17,AAVE
1,0.030158730158730156,0.006637448118449232,0.0,0.0,0.9418282548476451,0.0,0.04742422179043048,0.1620435527657031,0.029100529100529102,0.007179297322559598,2020-10-11,36,19,AAVE
2,0.030030030030030026,0.007686798074778611,0.0,0.0,0.9349999999999998,0.0,0.07991804060932602,0.14564844957132858,0.03153153153153153,0.008006704515200807,2020-10-12,37,20,AAVE
3,0.01879699248120302,0.004022888900799848,0.0,0.0,0.9600000000000004,0.0,0.051877889411528086,0.12295433397648813,0.019423558897243117,0.004287354978942391,2020-10-13,57,30,AAVE
4,0.013653013653013649,0.003562753933996941,0.0,0.0,0.9708506841165967,0.0,0.0247743887741977,0.11119924282346758,0.013830613830613826,0.004136906964843847,2020-10-14,78,41,AAVE
5,0.005635098614225745,0.0012814546771156713,0.0124777183600713,0.10579947646418096,0.9875052061640989,0.3,0.010371485112320996,0.07258235365156034,0.005768309278745707,0.0014148976506947184,2020-10-15,187,98,AAVE
6,0.009883198562443836,0.0018234472334607052,0.0,0.0,0.979173553719008,0.0,0.032214274691314916,0.09206609911455302,0.010122791254866715,0.0019649452865615675,2020-10-16,106,55,AAVE
7,0.014475743348982772,0.0023308281071235267,0.0,0.0,0.9715120525931334,0.0,0.023714613975045665,0.1162506053323054,0.014214919144496598,0.002488296873856319,2020-10-17,72,37,AAVE
8,0.014079147640791453,0.0016255714888351468,0.0,0.0,0.9715120525931334,0.0,0.023389824826889723,0.11547383511376416,0.014205986808726513,0.0017811822928929908,2020-10-18,73,37,AAVE
9,0.010268857356235995,0.0029723116909858038,0.0,0.0,0.9765289256198345,0.0,0.02627720706113095,0.09492914437145322,0.010841423948220064,0.0034317424629201434,2020-10-19,104,55,AAVE
10,0.007734204793028325,0.002183968331309453,0.0,0.0,0.9823447728625274,0.0,0.0156012640901889,0.08462981157589683,0.008123249299719885,0.0027054641108386116,2020-10-20,136,71,AAVE
11,0.014439096630877484,0.0038558642391854094,0.0,0.0,0.9677843523997366,0.0,0.02611318941285141,0.11404994694484787,0.015130198691842556,0.0044072696628782776,2020-10-21,74,39,AAVE
12,0.009883198562443834,0.0022478067110582372,0.0,0.0,0.9798347107438014,0.0,0.012995859763776482,0.09671250515852828,0.00982330038933811,0.0014216377893512056,2020-10-22,106,55,AAVE
13,0.013291139240506313,0.0034298360426469926,0.0,0.0,0.9727891156462593,0.0,0.017216332921317665,0.11116687367774356,0.013185654008438805,0.0021624553991741423,2020-10-23,80,42,AAVE
14,0.012982797792924354,0.0014424203858025924,0.0,0.0,0.9737500000000004,0.0,0.021613762649631583,0.11111871544144915,0.01309098777453206,0.0015815922161270517,2020-10-24,79,40,AAVE
15,0.015364354697102737,0.002540506469516405,0.0,0.0,0.9681632653061224,0.0,0.03550784349348862,0.11681501688823134,0.01565700907228565,0.0027539420288942343,2020-10-25,68,35,AAVE
16,0.011557886557886615,0.05302754885436099,0.020833333333333332,0.14332465957384288,0.39997175340724545,0.0007161613750298401,0.052009634340110016,0.06533826467288577,0.2137298797134858,0.15561879252239122,2020-10-26,144,119,AAVE
17,0.014930217461863004,0.010946226342870815,0.0,0.0,0.9470699432892253,0.0,0.03426947409479802,0.10784739030614622,0.019019798766634184,0.01616733667415218,2020-10-27,79,46,AAVE
18,0.011210249370853345,0.0026921665855993157,0.0,0.0,0.976259891711787,0.0,0.020559116026431592,0.10161430019229008,0.011332265690536103,0.003127798790421995,2020-10-28,94,49,AAVE
19,0.012028869286287103,0.002774581564910709,0.0,0.0,0.9738271604938274,0.0,0.022212354468857755,0.10549303867028896,0.012438741869375405,0.003250203442314511,2020-10-29,87,45,AAVE
20,0.010964912280701762,0.0021144766074189967,0.0,0.0,0.9767999999999991,0.0,0.035569374720213376,0.0961655743126216,0.011257309941520478,0.0022720436078370104,2020-10-30,96,50,AAVE
21,0.012324929971988778,0.002873546791411831,0.0,0.0,0.9752066115702478,0.0,0.016204008336412126,0.10788450392256145,0.012138188608776827,0.0014166776732051933,2020-10-31,85,44,AAVE
22,0.014486921529175027,0.0016954023688483615,0.0,0.0,0.9706790123456783,0.0,0.0240485521132905,0.11704323786099957,0.014621059691482204,0.001857220242931882,2020-11-01,71,36,AAVE
23,0.01536435469710274,0.003619934702034827,0.0,0.0,0.966530612244898,0.0,0.028412122951735,0.11876900233304581,0.01589113257243198,0.004328586392018442,2020-11-02,68,35,AAVE
24,0.016897081413210432,0.0034624096027507387,0.0,0.0,0.9623507805325991,0.0,0.030908462981324845,0.1231190098078672,0.017451783580815828,0.0043081967110755,2020-11-03,63,33,AAVE
25,0.016922263352723437,0.0029201154745897586,0.0,0.0,0.96484375,0.0,0.03894358725219686,0.1218686887219791,0.017274810505905177,0.0031590877173760554,2020-11-04,62,32,AAVE
26,0.005885703436491335,0.010571854400165271,0.013043478260869565,0.1137082293423096,0.9331945889698218,0.004137931034482759,0.020735597227959136,0.06272933650444615,0.019207553214872636,0.025444595450934457,2020-11-05,230,155,AAVE
27,0.005919962112242486,0.006646679047668306,0.0,0.0,0.9642240000000023,0.0,0.017998797547893904,0.06747230387846623,0.0106700601149766,0.013068591825173026,2020-11-06,206,125,AAVE
