,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,time,num_nodes,num_edges,token
0,0.001175544879516006,0.005837272228879469,0.009326809119901188,0.06433948004940977,0.8237954280823097,0.002327861242842346,0.003487771484367487,0.01404325950633843,2020-09-29,4777,13410,LINK
1,0.0011067036359938027,0.005210100001624786,0.007303910478652913,0.05703828701052055,0.8406440526415523,0.001576562651804877,0.0033350449031655975,0.014539391824607634,2020-09-30,4495,11178,LINK
2,0.0009342076279777119,0.0046825682116314795,0.008176230349419868,0.05973763877179312,0.8358994577073962,0.0019923422821779974,0.0031378790506320655,0.013708996234027833,2020-10-01,5057,11943,LINK
3,0.0008360769257272247,0.005403620080802193,0.008146284706086797,0.06067043952738763,0.8443150637049051,0.001642783536120443,0.0030082423362517356,0.012659710978356564,2020-10-02,5907,14584,LINK
4,0.0009738146270654237,0.004765432634199327,0.0083605027684456,0.06339482516691013,0.8561690511013945,0.0021042645418809197,0.003529070458172565,0.015023136710246198,2020-10-03,4200,8587,LINK
5,0.0008560747346167853,0.0050006912595294845,0.005641168318312839,0.05360296298548506,0.8566592752865927,0.0005181277420396738,0.0037020596213485947,0.014265139691378858,2020-10-04,4605,9075,LINK
6,0.0009435070304107179,0.004362885529295263,0.006354760630404699,0.054327570405084104,0.8539735163943815,0.0017607875925382474,0.003620823246434802,0.014920603470030795,2020-10-05,4243,8491,LINK
7,0.0010647578732745388,0.005106685729181621,0.009175900367503544,0.06886729028023379,0.8376420772823459,0.00216743182192307,0.003677695269528628,0.014520250976999823,2020-10-06,4458,10578,LINK
8,0.0009797434315984932,0.004866111152441167,0.007323238496223249,0.05388891989339996,0.8446417408414596,0.002035445076534226,0.003943075273274573,0.014015991340723646,2020-10-07,4718,10902,LINK
9,0.0009465094427740643,0.0045095349673344685,0.009685401528673875,0.06726635114397345,0.8390624777120982,0.00245728850063823,0.0036574613548930397,0.014083677675093697,2020-10-08,4724,10559,LINK
10,0.0008088855470720412,0.004033409229518896,0.006460270951130721,0.05561662789570729,0.8432005103319876,0.0015648982440865985,0.0035868606320018964,0.013531262637135891,2020-10-09,5104,10534,LINK
11,0.0008683221926913435,0.004134526016888877,0.005492786302693609,0.048992226855306964,0.8479367218574957,0.001672624708930504,0.0036364319177178603,0.014193587915343456,2020-10-10,4659,9422,LINK
