,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,WCC,SCC,time,num_nodes,num_edges,Token
0,0.0022413456298901522,0.027949107765103412,0.0028734085360809904,0.030250633066530593,0.21269822837412825,2.50019793233631e-05,0.00593975220707409,0.02268821154074348,0.0030731261149200976,0.015501820065699216,63,952,2020-10-03,1329,2346,AAVE
1,0.005626852984471146,0.04093597204631262,0.0013431659272977398,0.020631697097798277,0.24642719925483142,3.576438423664896e-05,0.00994893829798966,0.03663056363867996,0.0047343637274941544,0.024146060084475826,63,952,2020-10-04,1404,2216,AAVE
2,0.006074879227053175,0.04214808928386278,0.003802894375207434,0.03842194125167265,0.27695299783003613,0.0001162963489407341,0.011393228977817959,0.04011357649545024,0.005219552130628225,0.023855387987645072,63,952,2020-10-05,1451,2549,AAVE
3,0.00915979918537454,0.04586606167958453,0.007795412527985507,0.05771543728326821,0.3749790146820914,0.0003870767960363336,0.015588238618310213,0.04399007453208081,0.011581122211418418,0.026930019225876917,63,952,2020-10-06,1389,2993,AAVE
4,0.008341635898337587,0.03802896405357948,0.004292734262910649,0.03698228315289399,0.4673782643035269,0.00022271301571982703,0.01919476290868665,0.04293175196808739,0.01504359525357931,0.027223943500948918,63,952,2020-10-07,1256,2972,AAVE
5,0.008390022675736967,0.037826810932787516,0.009736158176297085,0.06497358545326792,0.5186905979392876,0.0006963249516441006,0.01628317443590674,0.039870463825162406,0.019437098593832736,0.030869785154788453,63,952,2020-10-08,1270,3156,AAVE
6,0.00805486333222148,0.03594696409419493,0.003410034600546241,0.049901231971578634,0.46460385682393723,0.00017909734935922948,0.018173988016345035,0.04343119502103929,0.013267797300912198,0.024844737190499025,63,952,2020-10-09,2825,4849,AAVE
7,0.009488500090776132,0.04098963200511383,0.002183564630025686,0.03300475007630212,0.49328581803967225,5.82773223512957e-05,0.019118768014091996,0.04268321304875212,0.01820329577477554,0.030464916321828652,63,952,2020-10-10,1280,2610,AAVE
8,0.010974976492217833,0.042978849050399774,0.005321666893224864,0.05122955492172447,0.48413048873646636,0.00016782277914522266,0.018838627117272758,0.047923737950839415,0.014362372149900323,0.027980800846549147,63,952,2020-10-11,1175,2385,AAVE
9,0.008517454921955938,0.03765634133554928,0.013245239753293466,0.07805518612950352,0.5216204902202498,0.0004201092283993838,0.019458759215933485,0.04281247906707498,0.03520884970640531,0.05809017576682691,63,952,2020-10-12,1219,2422,AAVE
10,0.006597301544447039,0.031533345378311345,0.0073986374072892444,0.054855222225403406,0.503409084832291,0.0005611672278338945,0.019665379611148927,0.038402474859997815,0.04106825587982965,0.061405440524592673,63,952,2020-10-13,1025,1961,AAVE
11,0.006166193210035946,0.03141540483925141,0.011806186359865953,0.0891550243785205,0.5728159449563947,0.0005909549136162964,0.015735437015422963,0.03409522001111507,0.043010930285737055,0.06034839864500435,63,952,2020-10-14,1369,2420,AAVE
12,0.004728270387017814,0.02564211481293989,0.009011535413696281,0.06498597612229293,0.645354137201135,0.0006035074432584668,0.011819637607683429,0.030679410306150103,0.04222051575777733,0.043385423631900066,63,952,2020-10-15,2632,3592,AAVE
13,0.004807246075309265,0.02366319614675334,0.00855358316941385,0.06469660461846602,0.6249972048717223,0.0006765899864682003,0.01389795874092165,0.0327479011518587,0.03702713696355376,0.0450096044282644,63,952,2020-10-16,2958,4111,AAVE
14,0.006385114784820368,0.029759240242590235,0.013450494666409846,0.08373123544323964,0.5702795358649786,0.0011809301647470478,0.015032433569837973,0.035615396572517326,0.05508889769965052,0.06275400263014166,63,952,2020-10-17,2574,3818,AAVE
15,0.006028137476694818,0.02739796638414391,0.009915863249486727,0.06410394909855914,0.5938145917703049,0.0009357454772301934,0.016797219110132593,0.03520644825245905,0.04343438131887597,0.0522645181919181,63,952,2020-10-18,2140,3688,AAVE
16,0.00569142362600886,0.02576594638446681,0.012206137945335108,0.06942949844485066,0.6267877073811274,0.0012510425354462051,0.015271269874527574,0.03348859300662785,0.046992119881689866,0.05453983080040505,63,952,2020-10-19,1804,2946,AAVE
17,0.005951616356240682,0.029930568387522012,0.01818226410279105,0.1043313197565671,0.643785441207864,0.0013608142205086043,0.013146202595710869,0.03137490619130393,0.047352466000274866,0.053893396622559854,63,952,2020-10-20,2250,3558,AAVE
18,0.005265828657590714,0.024410130612372107,0.01243955427118055,0.08509087431569783,0.6393405709183873,0.0006133714986710284,0.01532431538463565,0.031140033747525536,0.047282819351621125,0.049484511321331345,63,952,2020-10-21,3058,4399,AAVE
19,0.005300917778920738,0.025577042450486812,0.013034664176074446,0.08046337209472182,0.6322711238080658,0.0009700450100884681,0.013321996357129199,0.03140799515661605,0.05000456350197896,0.05336449153818128,63,952,2020-10-22,3204,4920,AAVE
20,0.005729856449133154,0.025150156913409976,0.010550045700226777,0.07857970301758503,0.6648217472393303,0.001042012030502534,0.013084381413403644,0.032606065462705544,0.05390648712902757,0.056457683559159436,63,952,2020-10-23,2861,3992,AAVE
21,0.006717093939668363,0.028662358033081495,0.014580775881510723,0.07604872320393824,0.6290334953804804,0.0017751479289940828,0.01593238377995028,0.035380799214161006,0.04622287513563749,0.05647565246684764,63,952,2020-10-24,2897,4178,AAVE
22,0.006323322683706015,0.024727745048469793,0.018840080997874268,0.08563655987809413,0.6305985364455903,0.0029751807291802596,0.01482683904774711,0.0371458356697266,0.05322944329264006,0.060775780186326664,63,952,2020-10-25,2744,3915,AAVE
