,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,time,num_nodes,num_edges,token
0,0.003138297872340403,0.011593344956167366,0.03827217088120772,0.18178755140458447,0.7185134526629495,0.004777737420021793,0.015808937873213604,0.031643785246898,0.19470596567868956,0.07362306616290931,2020-11-12,800,1003,AAVE
1,0.002645185068183088,0.010908851848161955,0.03000694463771884,0.1621585806320414,0.7038923358959788,0.0026860955056179775,0.014415700587513451,0.02861237952299747,0.199620148657773,0.0780751892927378,2020-11-13,975,1256,AAVE
2,0.002827622438853525,0.010866598850274205,0.0323386410156547,0.1661234112764806,0.6895506440071435,0.0035123754749922975,0.015009899720009604,0.02924962268226956,0.19938002756059975,0.0805829971904898,2020-11-14,926,1211,AAVE
3,0.0025353352032117865,0.010721304960545202,0.05017369530335984,0.20038728556098778,0.6958405156300916,0.005142147881080442,0.014115752894022521,0.027539227832017715,0.19376033353491615,0.08430982526300486,2020-11-15,1045,1383,AAVE
4,0.0023511467611456558,0.009973888959179228,0.02781681485058108,0.15232624663360156,0.7199706446281012,0.0027251312527905654,0.013542396183121433,0.02723055694144906,0.195896871789457,0.07571680107839844,2020-11-16,1082,1375,AAVE
5,0.0021585195322960287,0.009488537515169895,0.03745983335408478,0.17846914115268084,0.7310512344204259,0.0033213396069748133,0.012819882773247531,0.026425774776779543,0.17738541788768028,0.08100031596149863,2020-11-17,1160,1451,AAVE
6,0.0024724309628543486,0.01020018240305738,0.03792530523466021,0.17791682759913352,0.7131244316572488,0.003589076723016905,0.013963927857738817,0.027970255951996967,0.19136362489168415,0.08116226512538145,2020-11-18,1024,1295,AAVE
7,0.0021006420253379516,0.009090569975649509,0.039000193033046235,0.1767584907334096,0.7116187309726025,0.0034341096116912353,0.012974556600008756,0.02543981640238471,0.19448748520619685,0.07801870513709126,2020-11-19,1227,1580,AAVE
8,0.002194460671969361,0.009243718645672909,0.035329408677669864,0.17296737117396707,0.7355484629989871,0.0033499360867457134,0.013115562540795772,0.026336931326991143,0.19130307181994774,0.07300137666670824,2020-11-20,1156,1465,AAVE
9,0.002283471590402346,0.009540848049345614,0.037345557336404066,0.17709077564537362,0.724935736537963,0.003914623916488023,0.013129445244673172,0.026988206110622658,0.18094386569831045,0.08157852158367106,2020-11-21,1111,1408,AAVE
10,0.002349144953279809,0.009553245090109788,0.03809129000938827,0.1781427772616229,0.7246893005042058,0.00416579879191835,0.012962708747115137,0.0277153465933491,0.1842511019533532,0.07640806229612623,2020-11-22,1069,1341,AAVE
11,0.0026509026323463043,0.010115889283714487,0.03167125605699426,0.16332153556515921,0.7253642361111097,0.003927644068166445,0.013890563171349695,0.029298021712932346,0.1901850195826456,0.07661846391855458,2020-11-23,952,1200,AAVE
12,0.00227195677602236,0.008883963622021193,0.0428645099468511,0.19087535587124155,0.7458663940429713,0.004352890687266262,0.012240686044340223,0.0281519351731036,0.17027624702424804,0.07628416646695367,2020-11-24,1062,1280,AAVE
13,0.002516505314267149,0.00986235966164712,0.023374265818273607,0.13379224531535006,0.7291518960525395,0.0032340131947738346,0.013502383296898231,0.02909131594578118,0.19059380828380373,0.07358277189972297,2020-11-25,973,1190,AAVE
14,0.002275113479376411,0.009480278194812368,0.03783138344971852,0.17647059010645016,0.7310832605740181,0.004076702400724747,0.012987807660135759,0.02683385549071122,0.19299640532457724,0.0822766129495703,2020-11-26,1126,1441,AAVE
15,0.002446387110518955,0.009129955682204817,0.040192091032918216,0.18264456775929963,0.7429427703871117,0.005626628760957119,0.012792790699307591,0.028049229619906087,0.1652185332314421,0.07486449050756246,2020-11-27,1053,1355,AAVE
16,0.00216899468817622,0.008205239001408996,0.01420695461227031,0.11047320738015794,0.7718337523974055,0.0016546457361052184,0.012089041579762679,0.027559386739936718,0.16140443115932168,0.07499397404452891,2020-11-28,1105,1323,AAVE
17,0.0026110556860725557,0.009548696587173298,0.03283995280954126,0.16826284613675302,0.738789836397406,0.003503608716978488,0.013995122621409855,0.028986255459275172,0.17407667731720677,0.07862562250072243,2020-11-29,966,1217,AAVE
18,0.0020255942270565315,0.00878746167117555,0.03134626393485347,0.15868248440872487,0.7288727230495893,0.00444067659763433,0.012189839228502626,0.02576111014453026,0.17803580069556946,0.08423267390017142,2020-11-30,1232,1536,AAVE
19,0.002600958247775563,0.009494229680857032,0.023689976666327814,0.13587318979787458,0.7307272697470879,0.0026187030528564536,0.013675320350880453,0.028973913300038477,0.18055221261929125,0.07510910993183742,2020-12-01,975,1235,AAVE
20,0.0015429963764911948,0.008121953999970897,0.03384939370322601,0.16857123534005553,0.7312863130902265,0.002609253877641179,0.010796286214197787,0.022324306686910024,0.19262494295816965,0.08243095674587565,2020-12-02,1627,2041,AAVE
21,0.0016836893588708507,0.008373818182554298,0.0386982851497957,0.17835374647365682,0.7283381965417326,0.0031487540281911882,0.011190169293187294,0.023238605650250262,0.18269665557085799,0.08352988024718778,2020-12-03,1504,1903,AAVE
22,0.0020501880852930193,0.008719411752648353,0.04118707537862114,0.1812559597657765,0.7208161752924221,0.004594303064200392,0.012248818475519955,0.025605611131426533,0.1927441248854119,0.0798005879197385,2020-12-04,1242,1580,AAVE
23,0.0012669087595039057,0.005787436291540985,0.022353040116858475,0.1393903996750618,0.7991933950954196,0.0023157785179017485,0.008475724093948459,0.02141560107893065,0.17407382418981274,0.06836362332490825,2020-12-05,1886,2252,AAVE
